epoch,loss,val_loss
0,331.0235290527344,187.29220581054688
1,148.65037536621094,137.54702758789062
2,134.697265625,141.65501403808594
3,132.3759307861328,134.56588745117188
4,129.7959747314453,131.9222412109375
5,127.19712829589844,126.02458953857422
6,125.3267822265625,129.53311157226562
7,121.18539428710938,126.20668029785156
8,122.13872528076172,119.68046569824219
9,113.68610382080078,112.99745178222656
10,109.1531982421875,108.83662414550781
11,102.20270538330078,99.10852813720703
12,95.68943786621094,95.32472229003906
13,90.81427001953125,88.68286895751953
14,86.05172729492188,86.65325164794922
15,83.13603210449219,81.48151397705078
16,77.29932403564453,78.2271957397461
17,72.27029418945312,71.02125549316406
18,67.47374725341797,64.20164489746094
19,63.550636291503906,59.28089141845703
20,58.97322082519531,53.8621826171875
21,53.29988479614258,47.8254280090332
22,49.10846710205078,44.9786376953125
23,44.51081848144531,43.254817962646484
24,42.176490783691406,37.85942459106445
0,35.27124786376953,33.50904846191406
1,34.305419921875,30.675601959228516
2,30.40606689453125,29.1180477142334
3,29.12200927734375,29.149059295654297
4,25.828855514526367,26.761287689208984
5,23.71533203125,22.169357299804688
6,21.78839683532715,22.511995315551758
7,21.729976654052734,20.29816246032715
8,20.55873680114746,19.52983283996582
9,18.041770935058594,19.010852813720703
